layer,condition,mean,std,count
1,external_critique,0.8613787665963173,0.0818956123006972,16
1,redecode,0.802037488669157,0.140520511892187,48
1,self_critique,0.7767271138727665,0.20290849908344805,48
2,external_critique,0.7473008930683136,0.08971741207643082,16
2,redecode,0.687308207154274,0.12626653478630256,48
2,self_critique,0.6726850767930349,0.179356654118341,48
3,external_critique,0.7918073348701,0.08407695313238685,16
3,redecode,0.7132890423138937,0.1342077078414137,48
3,self_critique,0.6954530254006386,0.19161876602860753,48
4,external_critique,0.7865250781178474,0.05944847202584104,16
4,redecode,0.6979422035316626,0.13723092460761252,48
4,self_critique,0.6879433902601401,0.1857385467187707,48
5,external_critique,0.774645209312439,0.060718433561580465,16
5,redecode,0.6994784288108349,0.1387722906239491,48
5,self_critique,0.6882142188648382,0.177591919874702,48
6,external_critique,0.6980502679944038,0.08048680243434474,16
6,redecode,0.6313303721447786,0.14371618821813228,48
6,self_critique,0.6198089731236299,0.1745911335233229,48
7,external_critique,0.6790393479168415,0.08214068145495047,16
7,redecode,0.6136487896243731,0.1451415840919132,48
7,self_critique,0.6061306881407896,0.17829317027763436,48
8,external_critique,0.6830081678926945,0.08063825067280628,16
8,redecode,0.604318285981814,0.14348481389272288,48
8,self_critique,0.606107742836078,0.17457245745561434,48
9,external_critique,0.6975195929408073,0.07584553836361094,16
9,redecode,0.6251168834666411,0.14291980964105763,48
9,self_critique,0.6290039407710234,0.17349042740720294,48
10,external_critique,0.720867145806551,0.06426944494220331,16
10,redecode,0.6432140183945497,0.14666198182210544,48
10,self_critique,0.648479109009107,0.17530061758111018,48
11,external_critique,0.709125641733408,0.07410293197810774,16
11,redecode,0.6255683576067289,0.14704392767864485,48
11,self_critique,0.6324634378155073,0.17571789369705104,48
12,external_critique,0.6746338717639446,0.0650420666881922,16
12,redecode,0.5835195953647295,0.1424234617113159,48
12,self_critique,0.5998034775257111,0.1672315366865854,48
13,external_critique,0.6317244209349155,0.0776691024407338,16
13,redecode,0.552519558618466,0.14068163636424327,48
13,self_critique,0.5658415990571181,0.161288158078887,48
14,external_critique,0.6118073537945747,0.07789951563438287,16
14,redecode,0.5478606795271238,0.13980254712574935,48
14,self_critique,0.5594704002141953,0.15656398386065234,48
15,external_critique,0.6326650679111481,0.07201876161688694,16
15,redecode,0.5741523827115694,0.13836353789292888,48
15,self_critique,0.5807825090984503,0.15989248424588445,48
16,external_critique,0.6202411986887455,0.08031790342999984,16
16,redecode,0.5558749139308929,0.1410492240903014,48
16,self_critique,0.5641926291088263,0.15668649591359948,48
17,external_critique,0.6058602146804333,0.09801501550130774,16
17,redecode,0.5411235429346561,0.15084441591597142,48
17,self_critique,0.5434294926623503,0.15826718769392256,48
18,external_critique,0.5887222737073898,0.0955274940807495,16
18,redecode,0.5429550359646479,0.15363459956394768,48
18,self_critique,0.5395824698110422,0.15887056763825033,48
19,external_critique,0.5668260268867016,0.10305848026098392,16
19,redecode,0.5326140932738781,0.16182539964870035,48
19,self_critique,0.5399629051486651,0.16251033961537362,48
20,external_critique,0.6360498256981373,0.0878198739432524,16
20,redecode,0.5887115287284056,0.14947421917171144,48
20,self_critique,0.5992908105254173,0.16518673362113914,48
21,external_critique,0.6401870660483837,0.10260054790680746,16
21,redecode,0.5841533901790777,0.165836553347159,48
21,self_critique,0.5902135297656059,0.17363126474821836,48
22,external_critique,0.56780706346035,0.08926313940484806,16
22,redecode,0.5270068074266115,0.15830653874711095,48
22,self_critique,0.5327878184616566,0.166771936206859,48
23,external_critique,0.5320903770625591,0.10834355582536705,16
23,redecode,0.5033237598836422,0.17066919506343814,48
23,self_critique,0.5020433105528355,0.16982318044297062,48
24,external_critique,0.48993273451924324,0.10830646361702413,16
24,redecode,0.4650474563241005,0.1652299578876008,48
24,self_critique,0.4600091514488061,0.16463304336574963,48
25,external_critique,0.426350649446249,0.10362595973518456,16
25,redecode,0.3965447284281254,0.1441794745751346,48
25,self_critique,0.39741919189691544,0.14215536124149986,48
26,external_critique,0.394636157900095,0.10562418753260173,16
26,redecode,0.37210431322455406,0.13272941662461965,48
26,self_critique,0.3692318672935168,0.1367119509108356,48
27,external_critique,0.3244468979537487,0.10918141608642858,16
27,redecode,0.31022420649727184,0.12434452826467782,48
27,self_critique,0.30187468230724335,0.1262768047658578,48
28,external_critique,0.4544437937438488,0.22331600333053286,16
28,redecode,0.4923366904258728,0.2655667702379331,48
28,self_critique,0.45150463034709293,0.23612269967787564,48
